Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
SPANXA2-OT1,1.676502793813258e-82,EFCAB11,7.310612731857156e-204,SIRT2,1.051659670797251e-174,ZFPM2,5.537813042323551e-215,KCNIP1,2.158827082469474e-32,ANKRD30BL,4.581341748839463e-264,NOVA1,3.1407659496367458e-217,HELZ,1.0736209987380344e-188,PHF14,7.0482578065008744e-158
CCDC137,6.439397200712899e-82,CFAP54,2.1374831173829807e-201,GRM8,1.0151827992529024e-175,LOC105374455,2.836071845249011e-212,FLRT2,2.7505280844972753e-32,C14orf39,3.9126838516764965e-264,HNF4G,1.1550723029715426e-212,CADM1,9.668204883759123e-192,NPAS3,8.081774291001519e-157
GTDC1,5.334220982956652e-82,NPIPB15,6.260994907068045e-202,MAGI1,7.602324166948593e-174,BRINP3,1.0789537475197569e-213,INSR,2.745618877406829e-32,ANKRD36B,5.984847620954361e-264,LOC112268136,1.4966309178042234e-213,LOC105370504,1.5441925542561767e-186,FBXW7,3.426777129434132e-157
MEI1,2.396425339837028e-81,LOC105377110,6.724225527579697e-196,PLCZ1,3.4255903761395258e-174,PDE6A,1.5668028579282562e-209,COL1A2,2.8368517330996795e-32,SHCBP1L,2.082454008418959e-264,GPATCH2,1.771982357191705e-213,UST,5.528260229552699e-186,COBL,3.260630518389195e-151
KLHL13,3.562139989593596e-80,SPATA13,1.7547667347270107e-195,SMIM23,1.708230369173717e-169,WDR7,5.1939278730887314e-210,LOC105372676,3.356858293857576e-32,LOC105377632,1.0568638249739385e-257,TNRC6B,1.46956888970068e-212,WNK3,1.6100642993539998e-185,UBE2E2,1.4474830319476962e-153
CENPP,1.4226138897822082e-80,HYDIN,1.5442086999511807e-194,ICA1,3.894389145884458e-167,STAT4,2.600445531934192e-210,KCNMB1,1.1762804774781108e-31,EFCAB2,7.999352752309044e-260,SNHG31,1.0293259506249125e-208,TIAM1,3.2019733125876173e-186,ACOXL,3.500284053490816e-150
RIF1,1.32687327576584e-80,INSL6,1.1078459923697746e-195,KIF5C,1.7259709723710398e-165,TMEM191B,2.3994417401098103e-207,ROBO1,2.0709882919872536e-31,NRXN1,4.3167569472298366e-259,SLC9B1,1.4192117917634876e-207,ARHGEF3,8.897581349084814e-188,HS3ST4,2.2398288659642834e-147
SRRM2,2.579851471415901e-80,KCNU1,3.593865262278166e-189,H1-7,1.933857758953931e-166,LINC01500,5.748366102049774e-208,DOCK5,2.9439509670231376e-31,DPY19L2,7.92775770689999e-252,CD163L1,2.374981131607726e-206,KIAA1958,1.4500703575301054e-183,TJP1,1.6161216715117332e-149
MAP4K4,2.770975705156825e-80,SEL1L2,1.0890585286168194e-187,STARD13,7.66805749182021e-164,DYM,5.68429460904509e-206,RHOBTB3,3.3109156929647588e-31,DMRTC2,7.418582783626584e-247,APH1B,3.135602160646832e-206,MIR202HG,1.4346429092677447e-180,OTUD7A,2.688653607729191e-148
FBXW7,7.629944946670732e-80,LEKR1,5.565654472705694e-187,DHRS9,1.814389543923162e-164,CPNE8,3.559095367745121e-205,PID1,5.52225332102778e-31,ENTHD1,1.1602699067693325e-247,POTEC,5.747715634179589e-199,LINC-PINT,1.9278295855514314e-181,IGF2BP2,1.9747268252470415e-146
KCND2,1.9936640399191415e-79,TTN-AS1,7.973596285962775e-187,LOC105374392,2.3314704914076194e-164,SYT16,8.768042294957162e-205,LAMB1,6.710824042156944e-31,TOP2A,5.247373310945659e-243,CLGN,5.590639469838988e-199,L3MBTL4,2.82204110075772e-181,ZNF704,2.1605230619058947e-146
LINC02476,4.5405710372710395e-79,IGSF11,1.507171999613675e-185,LINC01837,1.6530084208645053e-164,LOC105377932,7.277889600991521e-203,FKBP5,2.816618572651869e-30,PRANCR,8.466114020807364e-242,POTEA,7.251708002019591e-197,ANKS1A,3.159157771588263e-179,GTDC1,1.0156956272294557e-145
NR6A1,3.1294714117348314e-79,CASC2,9.537254699929678e-183,RBAKDN,3.005582627694541e-167,FAM229A,1.7937105975737125e-203,SGCZ,9.980418534980788e-30,CEP128,6.13255204363538e-243,CATSPERE,9.091869494296098e-196,ITPR2,1.2948015400415754e-177,MLLT3,7.293255505150442e-143
ZFYVE9,6.319405905746973e-79,EPHA6,1.8096247405318413e-182,PCDH7,1.1159197498768317e-161,LINC02641,2.0076031935825625e-197,ABI3BP,1.154478810845418e-29,DZIP3,4.631419141963484e-243,PDE10A,5.817390490817214e-193,SEPTIN14,3.2350835913646765e-177,TEAD1,9.120392976091504e-144
amplicon-chrX-SSX1/2/2B/344B/5/7,4.060966733386845e-78,C10orf67,4.6533047425052605e-179,LOC105374341,1.970414265688524e-160,CACHD1,2.9994869444733304e-195,EGFR,1.5856206044170603e-29,LINC02820,1.0472102171695407e-244,FUT8,1.6575355430520812e-193,MBD5,1.3252942969108168e-178,CTNND2,2.3995538314813723e-144
